season,date,opponent,location,type,longtype,result,unc,opp,OT,box
2020-21,12/2/20,Texas,neutral,Non-Conference,Non-Conference (Maui Invitational),L,67,69,,https://dadgumboxscores.com/boxes/2021/texas-69-unc-67.pdf
2020-21,12/1/20,Stanford,neutral,Non-Conference,Non-Conference (Maui Invitational),W,67,63,,https://dadgumboxscores.com/boxes/2021/unc-67-stanford-63.pdf
2020-21,11/30/20,UNLV,neutral,Non-Conference,Non-Conference (Maui Invitational),W,78,51,,https://dadgumboxscores.com/boxes/2021/unc-78-unlv-51.pdf
2020-21,11/25/20,College of Charleston,home,Non-Conference,Non-Conference,W,79,60,,https://dadgumboxscores.com/boxes/2021/unc-79-cofc-60.pdf
2019-20,11-Mar-20,Syracuse,neutral,ACC Tournament,ACC Tournament 2nd Round,L,53,81,,https://dadgumboxscores.com/boxes/2020/syracuse-81-unc-53.pdf
2019-20,10-Mar-20,Virginia Tech,neutral,ACC Tournament,ACC Tournament 1st Round,W,78,56,,https://dadgumboxscores.com/boxes/2020/unc-78-vt-56.pdf
2019-20,8-Mar-20,Duke,away,League,League,L,76,89,,https://dadgumboxscores.com/boxes/2020/duke-89-unc-76.pdf
2019-20,4-Mar-20,Wake Forest,home,League,League,W,93,83,,https://dadgumboxscores.com/boxes/2020/unc-93-wake-83.pdf
2019-20,29-Feb-20,Syracuse,away,League,League,W,92,79,,https://dadgumboxscores.com/boxes/2020/unc-92-cuse-79.pdf
2019-20,25-Feb-20,NC State,home,League,League,W,85,79,,https://dadgumboxscores.com/boxes/2020/unc-85-state-79.pdf
2019-20,22-Feb-20,Louisville,away,League,League,L,55,72,,https://dadgumboxscores.com/boxes/2020/lville-72-unc-55.pdf
2019-20,17-Feb-20,Notre Dame,away,League,League,L,76,77,,https://dadgumboxscores.com/boxes/2020/nd-77-unc-76.pdf
2019-20,15-Feb-20,UVA,home,League,League,L,62,64,,https://dadgumboxscores.com/boxes/2020/uva-64-unc-62.pdf
2019-20,11-Feb-20,Wake Forest,away,League,League,L,57,74,,https://dadgumboxscores.com/boxes/2020/wake-74-unc-57.pdf
2019-20,8-Feb-20,Duke,home,League,League,L,96,98,OT,https://dadgumboxscores.com/boxes/2020/duke-98-unc-96.pdf
2019-20,3-Feb-20,Florida State,away,League,League,L,59,65,,https://dadgumboxscores.com/boxes/2020/fsu-65-unc-59.pdf
2019-20,1-Feb-20,Boston College,home,League,League,L,70,71,,https://dadgumboxscores.com/boxes/2020/bc-71-unc-70.pdf
2019-20,27-Jan-20,NC State,away,League,League,W,75,65,,https:///dadgumboxscores.com/boxes/2020/unc-75-ncsu-65.pdf
2019-20,25-Jan-20,Miami,home,League,League,W,94,71,,https:///dadgumboxscores.com/boxes/2020/unc-94-miami-71.pdf
