season,opponent,result,oefg,opm,opa,opmp,otpm,otpa,otmp,otmpa,ofpa,ofpt,otft
2019-20,Duke,L,45,30,62,48.4,4,18,22.2,22.5,26,34,76.5
2019-20,Florida State,L,45.5,19,40,47.5,4,15,26.7,27.3,15,17,88.2
2019-20,Boston College,L,52.7,19,38,50,7,18,38.9,32.1,12,17,70.6
2019-20,NC State,W,45.5,24,46,52.2,4,20,20,30.3,5,7,71.4
2019-20,Miami,W,46.5,18,34,52.9,6,24,25,41.4,17,18,94.4
2019-20,Virginia Tech,L,47.7,10,28,35.7,14,37,37.8,56.9,17,21,81
2019-20,Pittsburgh,L,44.3,13,28,46.4,7,25,28,47.2,19,27,70.4
2019-20,Clemson,L,52.2,17,36,47.2,12,31,38.7,46.3,9,13,69.2
2019-20,Pittsburgh,L,52.9,14,30,46.7,9,22,40.9,42.3,18,22,81.8
2019-20,Georgia Tech,L,63.9,30,47,63.8,6,14,42.9,23,18,24,75
2019-20,Yale,W,44.4,12,27,44.4,8,27,29.6,50,19,22,86.4
2019-20,UCLA,W,45.8,21,38,55.3,4,21,19,35.6,10,18,55.6
2019-20,Gonzaga,L,67,26,41,63.4,9,18,50,30.5,15,22,68.2
2019-20,Wofford,L,48.5,11,26,42.3,14,40,35,60.6,4,6,66.7
2019-20,UVA,L,38.8,10,32,31.2,6,17,35.3,34.7,18,25,72
2019-20,Ohio State,L,55.4,16,30,53.3,10,26,38.5,46.4,12,15,80
2019-20,Oregon,W,44.3,13,40,32.5,12,30,40,42.8,12,20,60
2019-20,Michigan,L,59.8,17,30,56.7,11,26,42.3,46.4,6,10,60
2019-20,Alabama,W,46.3,15,37,40.5,11,31,35.5,45.6,4,9,44.4
2019-20,Elon,W,41.3,8,31,25.8,12,32,37.5,50.8,9,9,100
2019-20,Gardner Webb,W,41.2,16,34,47.1,5,23,21.7,40.4,14,18,77.8
2019-20,UNC-Wilmington,W,38.2,20,44,45.5,5,28,17.9,28.9,7,11,63.6
2019-20,Notre Dame,W,41.9,15,37,40.5,9,31,29,45.6,8,14,57.1
2018-19,Auburn,L,67.4,19,29,65.5,17,37,45.9,56.1,8,17,47.1
2018-19,Washington,W,45.8,14,31,45.2,9,29,31,48.3,4,10,40
2018-19,Iona,W,53.6,7,14,50,15,41,36.6,74.5,14,15,93.3
2018-19,Duke,L,51.5,26,45,57.8,5,20,25,30.8,7,13,53.8
2018-19,Louisville,W,49.2,16,30,53.3,11,36,30.6,54.5,5,8,62.5
2018-19,Duke,W,39.7,17,41,41.5,8,32,25,43.8,12,17,70.6
2018-19,Boston College,W,42.9,12,34,35.3,12,36,33.3,51.4,6,10,60
2018-19,Clemson,W,54.4,19,35,54.3,8,22,36.4,38.6,17,22,77.3
2018-19,Syracuse,W,60,15,29,51.7,14,31,45.2,51.7,13,23,56.5
2018-19,Florida State,W,39,8,28,28.6,10,31,32.3,52.5,13,16,81.3
2018-19,Duke,W,40.3,17,33,51.5,8,39,20.5,54.2,14,19,73.7
2018-19,Wake Forest,W,35.8,18,44,40.9,4,23,17.4,34.3,9,13,69.2
2018-19,UVA,L,65.6,13,25,52,11,20,55,44.4,10,18,55.6
2018-19,Miami ,W,57.4,18,37,48.6,14,31,45.2,45.6,7,7,100
2018-19,NC State,W,54.7,30,57,52.6,7,17,41.2,23,15,24,62.5
2018-19,Louisville,W,50,16,33,48.5,10,29,34.5,46.8,7,9,77.8
2018-19,Georgia Tech,W,36.7,19,44,43.2,2,16,12.5,26.7,10,13,76.9
2018-19,Virginia Tech,W,54.9,14,33,42.4,13,28,46.4,45.9,15,16,93.8
2018-19,Miami,W,57.3,18,34,52.9,9,21,42.9,38.2,13,18,72.2
2018-19,Notre Dame,W,49.2,15,33,45.5,10,28,35.7,45.9,9,14,64.3
2018-19,Louisville,L,62,17,28,60.7,11,26,42.3,48.1,16,26,61.5
2018-19,NC State,W,48,23,45,51.1,8,28,28.6,38.4,12,17,70.6
2018-19,Pittsburgh,W,32.3,17,43,39.5,2,19,10.5,30.6,20,32,62.5
2018-19,Harvard,W,46.3,13,30,43.3,8,24,33.3,44.4,7,13,53.8
2018-19,Davidson,W,37.3,10,29,34.5,10,38,26.3,56.7,10,11,90.9
2018-19,Kentucky,L,50,19,39,48.7,9,26,34.6,40,15,22,68.2
2018-19,Gonzaga,W,57.1,24,41,58.5,8,22,36.4,34.9,18,23,78.3
2018-19,UNC-Wilmington,W,41.9,14,35,40,8,27,29.6,43.5,17,21,81
2018-19,Michigan,L,67.6,20,32,62.5,11,22,50,40.7,11,23,47.8
2018-19,UCLA,W,52.5,16,37,43.2,10,22,45.5,37.3,16,26,61.5
