season,opponent,result,pace,ppp,oppp,efg,oefg,to,oto,or,oor,ft,oft
2020-21,Syracuse,W,70,1.16,1.07,43.1,55,15.6,19.9,53.3,29.4,31.5,20
2020-21,Miami,W,76,0.88,0.86,41.8,37.3,26.2,18.3,34.1,27.9,36.1,34.9
2020-21,Notre Dame,W,64,1.03,1.02,40.6,57.3,12.6,15.7,46.7,10,20.3,10.9
2020-21,Georgia Tech,L,70,0.96,1.03,51.8,62.8,25.7,18.5,30.3,6.9,25,31.4
2020-21,NC State,L,77,0.99,1.03,45.7,53.1,23.4,18.2,45,30.8,24.3,31.2
2020-21,Kentucky,W,70,1.07,0.9,46.7,42.5,15.7,22.9,34.9,37.8,47.5,56.6
2020-21,NC Central,W,71,1.03,0.94,48,51.7,25.3,21.1,36.7,18.8,62,13.8
2020-21,Iowa,L,79,1.01,1.18,52.3,55.9,22.9,14,38.5,30.4,30.8,18.4
2020-21,Texas,L,68,0.98,1.01,42.2,49.2,20.5,16.1,45.5,21.1,55.2,23.3
2020-21,Stanford,W,71,0.95,0.89,50,44.1,33.9,18.3,46.9,17.6,46.1,47.1
2020-21,UNLV,W,72,1.08,0.71,47.5,35.5,22.2,23.6,47.5,28.6,53.3,24.2
2020-21,College of Charleston,W,73,1.08,0.82,42.2,46.7,12.3,20.5,39.5,20,33.8,16.7
2019-20,Syracuse,L,71,0.75,1.15,35,52.5,25.4,11.3,33.3,26.3,21.7,46.7
2019-20,Virginia Tech,W,63,1.24,0.89,52.7,37.1,12.7,11.1,40.6,25.6,44.6,17.7
2019-20,Duke,L,71,1.08,1.26,43.7,56.6,12.8,17,41.3,34.5,28.2,62.3
2019-20,Wake Forest,W,74,1.26,1.12,59,56,9.5,17.6,22.9,23.3,45.9,37.9
2019-20,Syracuse,W,70,1.31,1.13,60.2,49.2,14.3,12.8,40.6,27.8,26.6,30.2
2019-20,NC State,W,76,1.12,1.04,51.6,54.8,19.6,18.3,36.1,21.9,50.8,21
2019-20,Louisville,L,64,0.86,1.13,45.3,54.2,26.6,18.8,27.3,41.2,15.1,18.3
2019-20,Notre Dame,L,67,1.14,1.15,48.5,53.2,17.9,9,46.1,25.6,21.2,27
2019-20,UVA,L,63,0.98,1.02,53,52.8,23.7,19,29.6,22.6,28,14.8
