season,opponent,result,pace,ppp,efg,to,or,ft,pmp,tmp,tmpa,fpa,fpt,tft,oppp,oefg,oto,oor,oft,opmp,otmp,otmpa,ofpa,ofpt,otft,label,type,blind
2019-20,Notre Dame,L,67,1.14,48.5,17.9,46.1,21.2,43.5,40,30.3,12,14,85.7,1.15,53.2,9,25.6,27,58.6,32.4,54,10,17,58.8,Notre Dame L 76-77 (2019-20),League,lightpink
2019-20,UVA,L,63,0.98,53,23.7,29.6,28,55,30,20,9,14,64.3,1.02,52.8,19,22.6,14.8,45.5,42.9,38.9,7,8,87.5,UVA L 62-64 (2019-20),League,lightpink
2019-20,Wake Forest,L,68,0.84,34.1,20.7,39.5,25.4,42.6,6.2,25.4,14,16,87.5,1.1,50.9,20.7,32.4,40.7,45.2,39.1,42.6,19,22,86.4,Wake Forest L 57-74 (2019-20),League,lightpink
2019-20,Duke,L,83,1.03,54.4,19.3,31.7,55.1,57.9,25,17.4,21,38,55.3,1.05,45,12.9,26.9,42.5,48.4,22.2,22.5,26,34,76.5,Duke L 96-98 OT (2019-20),League,lightpink
2019-20,Florida State,L,71,0.84,35.3,12.8,29.2,25,30.6,31.6,27.9,11,17,64.7,0.92,45.5,22.7,28.1,30.9,47.5,26.7,27.3,15,17,88.2,Florida State L 59-65 (2019-20),League,lightpink
2019-20,Boston College,L,72,0.97,39.3,16.7,36.4,50.8,42.9,21.1,31.1,22,31,71,0.99,52.7,20.9,21.2,30.4,50,38.9,32.1,12,17,70.6,Boston College L 70-71 (2019-20),League,lightpink
2019-20,NC State,W,68,1.1,50.9,19.1,41.2,43.9,54.2,22.2,15.8,17,25,68,0.96,45.5,14.7,28.2,10.6,52.2,20,30.3,5,7,71.4,NC State W 75-65 (2019-20),League,lightgreen
2019-20,Miami,W,74,1.27,65.2,16.2,34.5,8.7,65.2,43.5,33.3,4,6,66.7,0.96,46.5,13.5,6.1,31,52.9,25,41.4,17,18,94.4,Miami W 94-71 (2019-20),League,lightgreen
2019-20,Virginia Tech,L,63,0.99,49.2,16.6,16.2,31.2,50,31.8,34.4,14,20,70,1.01,47.7,11.5,17.8,32.3,35.7,37.8,56.9,17,21,81,Virginia Tech L 77-79 2OT (2019-20),League,lightpink
2019-20,Pittsburgh,L,64,0.81,35,24.8,43.8,35,35.7,22.2,30,10,21,47.6,1.03,44.3,14,29.7,50.9,46.4,28,47.2,19,27,70.4,Pitt L 52-66 (2019-20),League,lightpink
