season,opponent,result,unc,opp,pointspread,refone,reftwo,refthree
2020-21,College of Charleston,W,79,60,-17,Roger Ayers,Raymond Styons,Scott Arbogast
2019-20,Syracuse,L,53,81,-3,Ted Valentine,Bill Covington Jr.,A.J. Desai
2019-20,Virginia Tech,W,78,56,-4.5,Raymond Styons,Mark Schnur,Bert Smith
2019-20,Duke,L,76,89,11,Mike Eades,Roger Ayers,Bert Smith
2019-20,Wake Forest,W,93,83,-8,Jeffrey Anderson,Keith Kimble,Tim Clougherty
2019-20,Syracuse,W,92,79,4.5,Ted Valentine,Lee Cassell,Doug Shows
2019-20,NC State,W,85,79,-2.5,Michael Stephens,Bill Covington Jr.,Tony Henderson
2019-20,Louisville,L,55,72,10,Mike Eades,Brian O'Connell,Tim Clougherty
2019-20,Notre Dame,L,76,77,3.5,Jeffrey Anderson,James Breeding,Terry Wymer
2019-20,UVA,L,62,64,-1.5,Mike Roberts,Kipp Kissinger,Brent Hampton
2019-20,Wake Forest,L,57,74,-1.5,John Gaffney,Raymond Styons,Pat Driscoll
2019-20,Duke,L,96,98,8,Ted Valentine,Brian Dorsey,Ron Groover
2019-20,Florida State,L,59,65,9.5,Jeffrey Anderson,Doug Shows,Mike Roberts
2019-20,Boston College,L,70,71,-11.5,Jamie Luckie,Clarence Armstong,Matt Potter
2019-20,NC State,W,75,65,5.5,Roger Ayers,Mike Eades,Bert Smith
2019-20,Miami ,W,94,71,-5.5,Ron Groover,Michael Stephens,Pat Driscoll
2019-20,Virginia Tech,L,77,79,6.5,Jeffrey Anderson,Tony Henderson,Tommy Morrissey
2019-20,Pittsburgh,L,52,66,3.5,Tim Clougherty,Keith Kimble,A.J. Desai
2019-20,Clemson,L,76,79,-3,Bill Covington Jr.,Bert Smith,Jeff Pon
2019-20,Pittsburgh,L,65,73,-5,Roger Ayers,Mike Eades,Brent Hampton
2019-20,Georgia Tech,L,83,96,-8.5,Brian Dorsey,Lee Cassell,Sean Hull
2019-20,Yale,W,70,67,-7,Ted Valentine,A.J. Desai,Mark Schnur
2019-20,UCLA,W,74,64,-4.5,Roger Ayers,Keith Kimble,Terry Wymer
2019-20,Gonzaga,L,81,94,14,Bert Smith,Randy McCall,Mike Reed
2019-20,Wofford,L,64,68,-12,Mike Eades,A.J. Desai,Evan Burroughs
2019-20,UVA,L,47,56,3.5,Ron Groover,Jamie Luckie,Bill Covington Jr.
2019-20,Ohio State,L,49,74,-4,Ted Valentine,Pat Driscoll,Mike Eades
2019-20,Oregon,W,78,74,2.5,Tony Padilla,Mike Roberts,Jeb Hartness
2019-20,Michigan,L,73,64,-3.5,Gerry Pollard,Mike Roberts,Gary Maxwell
2019-20,Alabama,W,76,67,-9.5,Tony Padilla,Mike Reed,Chance Moore
2019-20,Elon,W,75,61,-30.5,Ron Groover,Bill Covington Jr.,Raymond Styons
2019-20,Gardner Webb,W,77,61,-25.5,Ted Valentine,Jeffrey Anderson,Trey Styons
2019-20,UNC-Wilmington,W,78,62,-19.5,Bill Covington Jr.,Jerry Heater,Mark Schnur
2019-20,Notre Dame,W,76,65,-9.5,Roger Ayers,Bert Smith,Ron Groover
2018-19,Auburn,L,80,97,-4.5,Michael Stephens,Gerry Pollard,Mike Reed
2018-19,Washington,W,81,59,-12,John Higgins,Ron Groover,Michael Irving
2018-19,Iona,W,88,73,-22.5,Don Daily,Todd Austin,Jose Carrion
2018-19,Duke,L,73,74,3.5,Roger Ayers,Jamie Luckie,Clarence Armstrong
2018-19,Louisville,W,83,70,-6,Ted Valentine,Lee Cassell,Tony Henderson
2018-19,Duke,W,79,70,-4.5,Roger Ayers,Ted Valentine,Bill Covington Jr.
2018-19,Boston College,W,79,66,-10.5,Jeff Clark,Brian O'Connell,James Breeding
2018-19,Clemson,W,81,79,-4,Ron Groover,Jeffrey Anderson,Clarence Armstrong
2018-19,Syracuse,W,93,85,-11,Jamie Luckie,Lee Cassell,Bill Covington Jr.
2018-19,Florida State,W,77,59,-7,Bert Smith,Michael Stephens,Brent Hampton
2018-19,Duke,W,88,72,9.5,Mike Eades,Brian Dorsey,Ron Groover
2018-19,Wake Forest,W,95,57,-16.5,A.J. Desai,Tim Clougherty,Brian O'Connell
2018-19,UVA,L,61,69,0,Jeffrey Anderson,Doug Shows,James Breeding
2018-19,Miami ,W,88,85,-16,Roger Ayers,Bill Covington Jr.,Tony Henderson
2018-19,NC State,W,113,96,-10.5,Michael Stephens,Jeff Clark,Brent Hampton
2018-19,Louisville,W,79,69,-1.5,Ted Valentine,Earl Walton,Bert Smith
2018-19,Georgia Tech,W,77,54,-11,Roger Ayers,Jeffrey Anderson,Pat Driscoll
2018-19,Virginia Tech,W,103,82,-4,Doug Shows,John Higgins,Terry Wymer
2018-19,Miami,W,85,76,-6.5,Bert Smith,Jeffrey Anderson,Brent Hampton
2018-19,Notre Dame,W,75,69,-13,Roger Ayers,Jamie Luckie,Ted Valentine
2018-19,Louisville,L,62,83,-11,Mike Eades,Bill Covington Jr.,Tony Henderson
2018-19,NC State,W,90,82,1.5,Doug Sirmons,Kipp Kissinger,Don Daily
2018-19,Pittsburgh,W,85,60,-10,Ted Valentine,Bert Smith,Paul Szelc
2018-19,Harvard,W,77,57,-16.5,Bill Covington Jr.,Sean Hull,Jeff Clark
2018-19,Davidson,W,82,60,-14.5,Mike Eades,Tony Henderson,Doug Sirmons
2018-19,Kentucky,L,72,80,-2.5,Ted Valentine,Chris Rastatter,Pat Evans
2018-19,Gonzaga,W,103,90,-3.5,Jeffrey Anderson,Jeff Clark,Bert Smith
2018-19,UNC-Wilmington,W,97,69,-28,Ron Groover,A.J. Desai,Tim Clougherty
2018-19,Michigan,L,67,84,3.5,Terry Wymer,D.J. Carstensen,Courtney Green
2018-19,UCLA,W,94,78,-10.5,Roger Ayers,Lee Cassell,Kelly Self
2018-19,Texas,L,89,92,-9,Roger Ayers,Mike Roberts,Kelly Self
2018-19,St. Francis PA,W,101,76,-27,Michael Stephens,Tim Clougherty,Lee Cassell
2018-19,Tennessee Tech,W,108,58,-35,Roger Ayers,Bert Smith,Jeremy Mosier
2018-19,Stanford,W,90,72,-18,John Higgins,Keith Kimble,Kipp Kissinger
2018-19,Elon,W,116,67,-17.5,Bill Covington Jr.,Raymond Styons,Jerry Heater
2018-19,Wofford,W,78,67,-9.5,Bert Smith,Glenn Tuitt,Evan Berg
2017-18,Texas A&M,L,65,85,-7,Pat Driscoll,Michael Irving,Eric Curry
2017-18,Lipscomb,W,84,66,-22,Lamont Simpson,Tony Henderson,Bill McCarthY
2017-18,UVA,L,63,71,3.5,Jamie Luckie,Ron Groover,Tim Nestor
2017-18,Duke,W,74,69,4,Mike Eades,Ted Valentine,Bert Smith
2017-18,Miami,W,82,65,-6,Ron Groover,Bill Covington,Raymond Styons
2017-18,Syracuse,W,78,59,-7.5,Roger Ayers,Clarence Armstong,Bert Smith
2017-18,Duke,L,64,74,7.5,Roger Ayers,Mike Eades,Raymond Styons
2017-18,Miami,L,88,91,-10,Ron Groover,Michael Stephens,James Breeding
