season,opponent,result,unc,opp,off1,off2,off3,uncfouls,oppfouls,sumfouls
2020-21,Marquette,L,70,83,Brian Dorsey,Lamar Simpson,Tommy Morrissey,20,17,37
2020-21,Louisville,W,99,54,Ron Groover,John Higgins,Jeb Hartness,13,18,31
2020-21,Northeastern,W,82,62,John Gaffney,Bill Covington Jr.,Jeff Pon,11,14,25
2020-21,UVA,L,48,60,Bert Smith,Pat Driscoll,Earl Walton,18,14,32
2020-21,Duke,W,91,87,Ted Valentine,Roger Ayers,Mike Roberts,13,18,31
2020-21,Clemson,L,50,63,Doug Shows,Keith Kimble,Brent Hampton,16,17,33
2020-21,Pittsburgh,W,75,65,Ron Groover,Jeb Hartness,Jeffrey Anderson,15,13,28
2020-21,NC State,W,86,76,Roger Ayers,Pat Driscoll,Tony Henderson,15,17,32
2020-21,Wake Forest,W,80,73,Clarence Armstrong,Michael Stephens,Mike Roberts,19,16,36
2020-21,Florida State,L,75,82,Bert Smith,A.J. Desai,Lamar Simpson,20,16,36
2020-21,Syracuse,W,81,75,Brian O'Connell,John Gaffney,Tommy Morrissey,17,16,33
2020-21,Miami,W,67,65,Michael Stephens,Brian O'Connell,Pat Adams,23,17,40
2020-21,Notre Dame,W,66,65,Raymond Styons,Keith Kimble,Lamar Simpson,10,11,21
2020-21,Georgia Tech,L,67,72,Ron Groover,Lee Cassell,Clarence Armstrong,19,17,36
2020-21,NC State,L,76,79,Ted Valentine,Bert Smith,A.J. Desai,19,19,38
2020-21,Kentucky,W,75,63,Eric Curry,Pat Evans,Terry Wymer,25,30,55
2020-21,NC Central,W,73,67,Raymond Styons,Jerry Heater,Anthony Franklin,15,23,38
2020-21,Iowa,L,80,93,Bo Boroski,Larry Scirotto,Courtney Green,18,17,35
2020-21,Texas,L,67,69,Ted Valentine,Brent Hampton,Jeff Clark,14,25,39
2020-21,Stanford,W,67,63,Ted Valentine,Pat Evans,Eric Curry,22,19,41
2020-21,UNLV,W,78,51,Brent Hampton,Keith Fogleman,Tony Crisp,15,25,40
2020-21,College of Charleston,W,79,60,Roger Ayers,Raymond Styons,Scott Arbogast,16,20,36
2019-20,Syracuse,L,53,81,Ted Valentine,Bill Covington Jr.,A.J. Desai,18,17,35
